Breed,Number of lactation,Green fodder (Kg),Dry fodder (Kg),Concentrate (kg),Azolla (kg),Milk yield (Liters),Milk Fat %,SNF %,Lactometer reading,Price (Rs/Liter),Vitamin liquid (ml/day),Mineral Mixture (gm/day),Calcium Supplement (Liquid) ml/day,Number of Calcium supplement Injections
Jersey cross,6,39,12,4,0.8,16.06,3.51,8.63,31,36.93,2,40,50,1
Jersey cross,1,44,13,10,1.93,15.53,3.5,8.44,29,37.21,6,46,59,0
Holstein Friesian Cross,5,34,13,11,1.11,16.95,3.29,8.56,37,41.54,4,35,64,3
Jersey cross,3,26,11,5,1.1,12.9,3.55,8.61,32,42.67,2,58,72,3
Holstein Friesian Cross,4,45,8,10,0.58,18.37,3.17,8.38,38,36.44,4,58,75,2
Jersey cross,9,34,12,9,1.45,17.52,3.62,8.62,37,37.62,6,39,57,3
Holstein Friesian Cross,6,29,11,9,1.99,16.5,3.34,8.43,28,36.28,5,29,61,3
Holstein Friesian Cross,6,38,12,13,0.3,18.39,3.45,8.52,31,44.97,3,49,73,3
Holstein Friesian Cross,2,34,12,14,0.54,17.36,3.34,8.4,35,39.74,6,39,64,3
Jersey cross,5,35,10,10,0.35,15.3,3.62,8.47,30,40.91,2,69,71,2
Jersey cross,7,27,8,9,0.38,14.6,3.67,8.54,30,44.28,6,31,59,1
Holstein Friesian Cross,4,32,11,11,0.55,17.65,3.49,8.57,30,44.74,5,42,75,2
Holstein Friesian Cross,6,36,7,4,1.3,16.6,3.24,8.6,28,38.8,2,62,57,1
Jersey cross,8,44,10,5,0.8,16.91,3.5,8.47,38,40.07,4,44,62,1
Holstein Friesian Cross,8,27,9,5,1.02,16.8,3.37,8.57,29,36.82,4,40,75,3
Holstein Friesian Cross,9,40,10,4,0.08,17.99,3.26,8.5,38,39.35,6,67,54,1
Jersey cross,8,37,12,7,0.1,16.64,3.64,8.52,28,44.65,2,72,71,2
Holstein Friesian Cross,5,31,11,11,1.16,17.02,3.35,8.6,31,39.37,2,62,54,1
Holstein Friesian Cross,9,32,6,9,0.55,19.74,3.34,8.37,34,41.42,2,55,63,1
Holstein Friesian Cross,6,36,12,8,0.32,17.76,3.2,8.56,33,40.76,2,60,72,2
Holstein Friesian Cross,2,38,10,5,0.51,14.69,3.18,8.62,32,40.24,3,27,63,0
Jersey cross,6,26,13,10,0.84,14.97,3.71,8.55,36,39.17,2,65,71,2
Jersey cross,2,41,8,11,0.45,13.76,3.56,8.44,35,36.86,5,54,65,2
Holstein Friesian Cross,1,43,14,13,1.03,16.12,3.28,8.54,29,40.74,4,54,69,2
Holstein Friesian Cross,6,30,6,12,0.23,17.23,3.41,8.49,33,35.95,4,63,50,3
Holstein Friesian Cross,4,29,14,7,0.03,15.54,3.29,8.51,32,44.08,2,52,68,1
Jersey cross,5,29,6,6,1.67,13.93,3.57,8.47,29,44.58,6,36,62,3
Jersey cross,4,28,9,12,1.86,14.41,3.71,8.49,35,41.51,6,39,74,0
Holstein Friesian Cross,3,39,14,5,0.92,15.17,3.29,8.63,38,40.82,4,26,68,0
Jersey cross,3,34,12,14,0.51,14.49,3.72,8.5,31,35.69,3,41,52,0
Holstein Friesian Cross,4,39,7,4,0.88,15.59,3.22,8.63,33,41.45,4,55,67,2
Jersey cross,8,43,12,7,0.69,18.19,3.44,8.6,29,40.04,6,42,58,2
Jersey cross,1,45,5,4,1.87,12.87,3.36,8.48,29,38.83,6,64,51,2
Holstein Friesian Cross,2,29,9,11,0.02,15.43,3.38,8.43,32,39.31,6,56,70,1
Jersey cross,4,37,8,5,0.68,13.64,3.61,8.49,28,39.99,2,57,68,0
Holstein Friesian Cross,4,41,9,5,0.88,15.71,3.22,8.44,30,41.39,3,68,52,3
Jersey cross,8,33,5,12,1.18,16.9,3.76,8.39,28,39.6,3,26,72,3
Jersey cross,4,31,8,12,0.29,14.2,3.75,8.41,30,37.85,5,71,60,0
Jersey cross,2,27,11,7,0.37,13.18,3.75,8.5,31,36.46,4,38,68,0
Jersey cross,3,36,14,8,0.97,13.56,3.67,8.57,30,37.3,5,75,52,1
Jersey cross,1,37,6,9,0.59,12.35,3.58,8.42,36,39.39,5,32,70,3
Holstein Friesian Cross,3,35,14,13,1.95,17.38,3.33,8.54,31,35.26,3,75,68,0
Jersey cross,6,41,7,6,1.03,15.44,3.55,8.5,29,39.91,4,42,58,3
Holstein Friesian Cross,4,40,8,13,0.06,18.41,3.35,8.53,36,37.42,6,42,55,3
Holstein Friesian Cross,2,39,9,4,0.19,14.25,3.14,8.6,38,37.56,4,34,66,1
Holstein Friesian Cross,4,41,8,7,0.64,16.37,3.32,8.45,29,40.51,4,57,59,2
Jersey cross,6,34,7,6,0.3,14.15,3.63,8.61,37,40.06,3,69,50,1
Jersey cross,5,45,6,8,1.44,16.69,3.42,8.44,30,40.95,2,43,65,3
Jersey cross,2,41,5,7,1.08,14.19,3.6,8.5,28,42.96,5,44,70,3
Holstein Friesian Cross,9,39,7,13,0.9,19.62,3.29,8.37,34,38.0,2,40,58,2
Holstein Friesian Cross,2,40,12,4,1.03,16.03,3.27,8.58,35,43.07,2,59,67,2
Jersey cross,8,45,7,8,0.38,17.49,3.5,8.58,30,39.81,5,65,63,0
Holstein Friesian Cross,7,33,13,14,0.78,19.6,3.53,8.58,31,39.76,4,43,61,3
Holstein Friesian Cross,4,41,14,7,0.01,16.95,3.16,8.5,35,35.59,4,50,70,3
Jersey cross,1,31,10,7,0.26,11.84,3.72,8.54,28,35.86,2,67,70,0
Jersey cross,9,32,12,4,0.03,15.78,3.64,8.6,36,43.55,3,45,58,2
Jersey cross,9,45,13,8,1.8,18.64,3.53,8.64,32,35.13,3,44,50,0
Holstein Friesian Cross,8,30,14,7,1.05,17.7,3.26,8.58,37,43.9,2,25,57,1
Holstein Friesian Cross,3,27,6,13,0.48,15.44,3.51,8.34,34,42.08,6,53,50,2
Holstein Friesian Cross,3,39,12,13,1.23,17.02,3.37,8.59,35,38.45,5,56,59,3
Holstein Friesian Cross,9,31,5,10,1.77,19.21,3.38,8.42,33,41.67,2,72,51,2
Holstein Friesian Cross,1,44,7,6,1.53,16.19,3.25,8.47,35,36.96,6,48,69,2
Holstein Friesian Cross,1,45,7,14,0.66,16.52,3.31,8.42,35,36.76,3,45,66,1
Jersey cross,1,25,11,9,1.03,13.29,3.77,8.54,35,37.23,5,71,67,2
Holstein Friesian Cross,3,45,8,5,1.64,16.42,3.11,8.54,31,39.56,4,50,52,2
Holstein Friesian Cross,7,32,12,11,0.05,17.68,3.4,8.55,30,37.49,5,50,64,2
Holstein Friesian Cross,2,30,8,9,1.08,15.95,3.3,8.4,32,41.84,5,46,70,0
Jersey cross,5,33,11,12,0.08,15.42,3.71,8.56,32,37.18,4,66,75,3
Holstein Friesian Cross,3,38,13,8,1.85,16.16,3.37,8.5,28,37.54,5,37,57,0
Jersey cross,3,36,7,14,0.33,15.68,3.8,8.39,33,42.94,6,75,60,3
Jersey cross,2,27,12,7,1.81,12.05,3.69,8.51,38,35.12,3,72,64,3
Holstein Friesian Cross,5,43,7,14,1.64,19.76,3.27,8.34,31,36.17,5,72,64,3
Holstein Friesian Cross,3,29,14,10,1.19,15.58,3.36,8.5,31,38.24,4,33,55,0
Jersey cross,7,40,11,6,0.24,16.86,3.58,8.52,28,40.39,2,55,75,3
Holstein Friesian Cross,4,34,9,12,0.29,18.24,3.38,8.53,32,40.36,6,68,71,2
Holstein Friesian Cross,8,40,10,13,1.17,19.43,3.33,8.5,37,36.56,6,58,56,1
Jersey cross,4,31,12,14,0.68,15.23,3.85,8.54,32,41.64,5,55,54,3
Jersey cross,4,31,5,6,1.3,14.18,3.6,8.4,32,39.31,6,70,73,0
Jersey cross,8,36,9,12,1.87,18.33,3.58,8.47,33,43.04,5,71,50,2
Jersey cross,8,34,11,9,1.94,17.55,3.59,8.55,28,42.71,2,41,68,0
Jersey cross,7,41,7,13,0.31,17.78,3.67,8.44,29,43.28,6,27,63,3
Holstein Friesian Cross,8,37,5,14,0.4,20.35,3.34,8.41,37,38.19,2,69,71,2
Jersey cross,6,33,11,4,1.64,14.73,3.57,8.52,31,42.69,2,65,67,3
Holstein Friesian Cross,5,38,12,14,1.6,19.23,3.3,8.44,33,35.93,3,55,57,3
Holstein Friesian Cross,1,36,10,5,0.98,14.27,3.25,8.49,33,39.93,6,59,74,3
Jersey cross,3,39,12,8,1.52,15.3,3.5,8.61,33,42.85,2,33,72,3
Jersey cross,4,35,11,12,0.33,14.93,3.76,8.4,38,35.22,4,59,51,3
Holstein Friesian Cross,6,35,14,14,0.01,19.97,3.34,8.54,30,35.47,5,61,64,3
Jersey cross,1,28,10,5,0.08,12.18,3.62,8.51,32,39.26,2,43,67,3
Jersey cross,9,42,6,4,0.02,15.87,3.48,8.57,32,38.9,3,37,59,3
Jersey cross,3,40,11,13,0.87,15.39,3.75,8.49,38,43.1,4,31,62,0
Holstein Friesian Cross,6,33,7,14,1.54,18.95,3.4,8.45,32,41.2,3,49,66,2
Jersey cross,7,41,11,10,0.43,18.06,3.66,8.44,37,41.2,3,46,55,0
Jersey cross,7,41,14,9,1.17,16.34,3.67,8.5,38,42.56,3,43,63,2
Jersey cross,2,38,7,11,0.5,14.75,3.63,8.46,34,43.74,4,60,70,0
Holstein Friesian Cross,4,25,9,14,1.05,16.06,3.51,8.46,35,36.72,2,29,65,1
Jersey cross,8,42,8,7,0.9,16.36,3.55,8.56,29,44.48,5,56,51,0
Jersey cross,1,41,7,11,1.45,13.15,3.69,8.45,35,44.55,5,43,71,3
Jersey cross,1,33,12,4,0.37,12.49,3.64,8.58,31,36.93,2,44,74,2
Holstein Friesian Cross,6,43,10,12,1.62,18.75,3.25,8.43,28,42.7,2,70,51,3
Holstein Friesian Cross,7,28,6,14,0.7,17.41,3.44,8.46,30,39.65,5,47,61,1
Holstein Friesian Cross,5,29,12,6,1.29,17.09,3.34,8.61,35,39.24,5,51,72,2
Holstein Friesian Cross,7,40,11,11,1.1,19.45,3.3,8.58,38,36.11,4,34,60,3
Holstein Friesian Cross,1,40,9,4,0.44,14.57,3.12,8.52,36,39.62,4,42,73,0
Holstein Friesian Cross,6,34,11,7,1.88,16.97,3.29,8.58,35,41.31,6,37,68,1
Holstein Friesian Cross,6,27,9,10,0.4,16.2,3.47,8.41,37,41.17,6,48,75,3
Holstein Friesian Cross,8,36,8,12,0.06,18.4,3.35,8.54,34,44.18,3,63,65,3
Holstein Friesian Cross,3,30,12,11,0.92,15.63,3.38,8.53,38,42.5,3,59,74,3
Jersey cross,5,33,14,9,1.91,14.41,3.7,8.61,30,39.22,3,68,57,2
Holstein Friesian Cross,3,31,10,12,0.75,15.76,3.51,8.45,32,37.55,2,28,50,3
Holstein Friesian Cross,8,35,6,8,0.29,18.93,3.28,8.5,32,37.62,2,70,54,1
Jersey cross,9,41,10,7,1.47,16.77,3.5,8.48,35,36.93,4,26,55,3
Jersey cross,4,40,7,4,1.01,13.36,3.47,8.44,38,43.47,6,52,75,1
Holstein Friesian Cross,7,37,10,5,1.2,18.41,3.19,8.46,32,36.3,4,27,52,0
Jersey cross,6,37,14,5,0.16,16.33,3.59,8.56,36,39.89,5,37,50,3
Holstein Friesian Cross,4,29,12,13,0.55,16.29,3.56,8.47,34,36.75,5,30,52,1
Holstein Friesian Cross,1,39,14,7,1.67,14.75,3.26,8.65,34,44.51,3,53,52,0
Jersey cross,3,31,13,12,0.64,14.64,3.66,8.59,35,42.26,5,35,72,2
Holstein Friesian Cross,4,39,10,6,0.39,17.15,3.25,8.6,35,37.65,3,75,72,2
Jersey cross,5,42,10,5,0.51,14.38,3.45,8.55,28,40.58,5,57,56,0
Jersey cross,2,34,14,5,1.17,13.46,3.49,8.62,28,40.67,3,61,67,2
Holstein Friesian Cross,7,34,7,6,1.39,16.73,3.29,8.47,32,40.56,6,51,55,3
Jersey cross,3,45,7,13,0.44,15.6,3.56,8.4,29,38.13,2,64,67,2
Jersey cross,5,38,13,6,0.69,14.81,3.59,8.64,29,42.0,4,25,53,3
Holstein Friesian Cross,7,31,14,11,0.12,18.75,3.44,8.48,38,36.3,4,56,70,2
Holstein Friesian Cross,5,31,12,11,0.66,16.9,3.5,8.58,30,43.48,6,44,50,3
Holstein Friesian Cross,9,45,13,4,1.35,18.6,3.19,8.63,33,36.47,3,59,56,1
Jersey cross,6,44,12,8,1.24,16.2,3.44,8.6,28,37.52,3,49,65,3
Jersey cross,1,40,9,9,1.81,12.87,3.51,8.54,37,41.03,6,62,71,1
Jersey cross,7,31,14,14,0.61,17.79,3.85,8.56,36,35.51,5,36,58,2
Jersey cross,9,33,12,4,1.43,16.66,3.63,8.58,37,40.14,4,44,71,2
Jersey cross,5,35,12,10,1.68,15.32,3.68,8.61,37,35.03,2,52,59,0
Holstein Friesian Cross,9,27,8,8,1.79,17.54,3.41,8.44,36,37.38,2,40,59,2
Jersey cross,9,30,5,14,1.98,17.0,3.77,8.49,30,36.17,3,65,54,1
Jersey cross,9,29,13,11,1.89,16.29,3.76,8.53,38,37.69,2,27,59,1
Holstein Friesian Cross,4,28,11,13,0.76,16.65,3.4,8.38,35,37.97,5,74,73,0
Holstein Friesian Cross,8,38,9,11,1.49,19.44,3.32,8.57,30,42.97,2,28,69,2
Holstein Friesian Cross,9,33,11,11,0.02,20.33,3.35,8.59,30,37.68,3,49,57,1
Jersey cross,1,27,11,13,0.36,12.47,3.84,8.53,30,43.56,5,74,52,0
Holstein Friesian Cross,5,35,13,7,0.4,16.68,3.32,8.55,31,42.27,2,53,52,1
Jersey cross,1,34,10,12,1.24,14.54,3.68,8.43,33,41.08,6,49,60,1
Jersey cross,2,36,5,12,1.35,15.05,3.7,8.35,36,36.24,3,51,63,2
Holstein Friesian Cross,5,35,9,9,1.53,17.05,3.31,8.6,31,40.3,6,67,62,1
Jersey cross,1,32,14,12,1.11,13.44,3.81,8.54,33,36.13,3,26,63,2
Holstein Friesian Cross,2,35,12,11,1.4,16.18,3.34,8.56,31,38.55,3,51,63,1
Jersey cross,1,35,11,7,0.75,13.53,3.5,8.6,38,41.52,2,35,56,2
Jersey cross,4,29,13,13,1.56,14.82,3.86,8.53,30,39.05,3,69,61,3
Jersey cross,7,43,14,4,1.86,17.08,3.36,8.57,32,43.56,6,75,64,0
Holstein Friesian Cross,2,36,14,4,1.64,15.02,3.14,8.61,33,42.94,4,43,67,2
Jersey cross,3,30,7,4,1.82,13.61,3.52,8.5,30,38.73,2,64,57,3
Holstein Friesian Cross,2,44,10,14,1.52,17.14,3.29,8.4,28,43.22,2,50,56,0
Holstein Friesian Cross,9,25,9,12,0.5,17.97,3.54,8.5,37,35.64,3,33,50,1
Jersey cross,2,36,12,5,0.56,12.39,3.53,8.63,29,41.75,5,25,55,0
Holstein Friesian Cross,6,37,8,6,1.32,16.7,3.21,8.6,38,38.16,3,47,50,3
Holstein Friesian Cross,6,38,7,5,0.76,17.27,3.27,8.46,36,43.31,4,42,61,0
Holstein Friesian Cross,7,30,6,14,1.55,19.49,3.45,8.49,31,35.03,5,31,56,0
Jersey cross,4,27,13,13,0.85,15.56,3.87,8.58,30,40.19,2,62,64,2
Holstein Friesian Cross,1,29,11,9,1.99,14.49,3.32,8.53,29,42.45,2,54,68,3
Jersey cross,4,33,11,5,0.27,12.95,3.56,8.49,34,39.79,5,32,52,0
Jersey cross,5,41,10,5,0.96,14.87,3.51,8.61,35,44.18,4,45,60,0
Jersey cross,8,43,11,7,1.7,17.62,3.48,8.46,30,36.18,2,46,62,3
Holstein Friesian Cross,1,36,8,8,1.06,15.45,3.22,8.54,29,42.49,6,57,61,1
Jersey cross,7,36,9,6,0.32,16.34,3.49,8.57,32,43.52,2,28,58,3
Jersey cross,9,27,13,7,1.34,16.47,3.61,8.57,33,44.62,6,29,75,1
Holstein Friesian Cross,2,25,7,8,0.67,14.88,3.32,8.45,33,43.73,4,39,62,0
Jersey cross,1,41,6,12,0.06,13.62,3.72,8.51,29,41.98,5,63,61,1
Holstein Friesian Cross,7,42,9,4,1.05,17.5,3.07,8.59,28,38.51,6,67,62,0
Jersey cross,1,26,13,9,0.08,13.39,3.66,8.58,30,40.45,4,25,63,2
Holstein Friesian Cross,4,43,5,7,1.75,17.15,3.16,8.5,29,38.16,2,60,57,3
Holstein Friesian Cross,1,36,6,14,1.76,15.3,3.45,8.45,33,37.33,3,47,51,3
Jersey cross,6,32,9,14,0.89,16.11,3.76,8.48,36,35.02,5,56,65,3
Jersey cross,1,37,12,4,1.64,13.11,3.42,8.58,31,40.0,4,25,54,0
Jersey cross,4,44,8,5,0.79,14.16,3.46,8.54,33,44.75,5,51,68,3
Holstein Friesian Cross,1,42,13,12,0.14,15.88,3.25,8.58,38,38.92,4,33,68,1
Holstein Friesian Cross,3,40,5,14,0.21,17.81,3.32,8.43,30,44.49,2,47,72,2
Jersey cross,1,26,11,10,1.07,12.96,3.68,8.47,35,42.18,5,27,52,0
Jersey cross,6,27,5,8,0.05,14.18,3.71,8.39,29,44.74,2,42,56,0
Jersey cross,7,33,13,12,1.08,17.32,3.7,8.52,29,36.9,4,55,67,3
Holstein Friesian Cross,9,31,6,10,0.05,18.97,3.46,8.36,33,40.33,2,62,63,0
Holstein Friesian Cross,9,32,8,11,1.49,18.45,3.46,8.39,32,39.78,6,26,50,1
Jersey cross,2,42,7,13,0.47,15.9,3.64,8.48,31,35.12,2,62,55,1
Jersey cross,6,41,12,14,0.04,16.62,3.66,8.43,32,41.63,2,65,69,1
Jersey cross,5,27,5,14,1.77,15.48,3.73,8.37,30,36.03,5,35,61,0
Holstein Friesian Cross,3,31,6,13,0.92,16.2,3.49,8.35,36,38.03,3,50,71,0
Holstein Friesian Cross,9,25,12,14,0.14,19.37,3.48,8.43,32,43.36,2,53,61,1
Jersey cross,4,35,9,12,0.76,16.3,3.67,8.45,29,35.54,4,64,63,2
Jersey cross,2,41,11,4,1.02,12.61,3.51,8.63,33,40.78,4,47,50,1
Holstein Friesian Cross,4,35,5,6,0.6,15.22,3.31,8.5,38,38.57,2,48,58,2
Holstein Friesian Cross,7,26,7,13,0.3,18.54,3.59,8.47,31,44.19,4,53,64,3
Holstein Friesian Cross,7,42,14,12,1.27,19.95,3.26,8.59,37,35.17,4,62,52,0
Jersey cross,2,31,7,5,0.02,12.87,3.64,8.56,31,38.4,3,62,62,3
Jersey cross,7,26,7,6,0.36,14.98,3.72,8.58,32,38.71,3,73,56,3
Jersey cross,3,39,11,6,0.6,13.43,3.46,8.45,28,38.1,2,74,50,2
Jersey cross,9,30,5,11,0.3,16.61,3.79,8.42,34,39.52,6,26,67,0
Holstein Friesian Cross,9,45,9,6,0.03,18.82,3.16,8.53,38,37.16,5,66,75,1
Jersey cross,7,40,14,12,0.49,18.21,3.69,8.51,32,38.36,2,56,74,1
Holstein Friesian Cross,8,31,8,7,0.16,17.65,3.34,8.51,34,39.51,4,42,66,2
Holstein Friesian Cross,8,42,13,4,1.9,18.43,3.09,8.68,32,36.21,4,61,54,1
Jersey cross,7,33,13,12,1.29,16.56,3.64,8.6,35,37.17,2,27,74,2
Holstein Friesian Cross,5,25,12,11,1.8,17.57,3.42,8.54,33,37.04,2,35,73,0
Holstein Friesian Cross,1,28,6,9,0.82,14.3,3.33,8.4,35,38.87,2,38,56,1
Holstein Friesian Cross,3,25,6,8,0.25,14.24,3.41,8.5,31,35.25,2,40,71,3
Jersey cross,6,33,9,9,1.3,16.19,3.72,8.44,37,41.17,4,57,54,0
Jersey cross,8,38,8,4,0.79,16.07,3.55,8.55,36,40.76,4,42,61,3
Holstein Friesian Cross,6,42,14,5,1.78,17.32,3.25,8.67,38,40.11,5,63,62,0
Holstein Friesian Cross,8,31,5,9,1.67,17.19,3.39,8.51,31,36.43,4,58,68,3
Holstein Friesian Cross,9,42,14,9,0.41,20.53,3.32,8.49,35,39.52,5,46,59,3
Jersey cross,1,25,11,8,0.2,12.99,3.63,8.53,31,43.82,3,59,58,3
Jersey cross,3,44,13,8,0.42,14.62,3.49,8.57,36,37.91,6,55,59,3
Jersey cross,5,42,6,5,0.16,15.74,3.43,8.55,37,36.95,3,52,58,0
Holstein Friesian Cross,3,42,14,6,0.83,17.27,3.24,8.57,31,41.56,3,46,66,2
Jersey cross,3,28,11,13,1.99,14.72,3.86,8.55,28,39.69,2,66,70,3
Jersey cross,8,36,7,6,0.66,15.62,3.51,8.46,37,44.32,6,60,68,0
Jersey cross,8,34,12,9,0.21,17.34,3.65,8.54,34,42.83,2,25,75,2
Holstein Friesian Cross,4,42,6,11,1.77,17.59,3.23,8.42,30,41.51,4,26,65,3
Jersey cross,1,38,11,4,0.29,12.44,3.57,8.6,28,38.14,6,31,55,3
Jersey cross,8,34,5,5,1.58,15.27,3.55,8.48,35,44.51,4,26,61,1
Jersey cross,7,39,13,6,1.16,15.7,3.58,8.61,30,43.07,3,68,52,0
Holstein Friesian Cross,6,42,13,7,1.83,17.44,3.17,8.59,35,38.79,3,52,73,0
Jersey cross,8,30,13,9,0.83,16.93,3.68,8.56,34,44.22,2,66,56,3
Holstein Friesian Cross,5,34,7,6,1.34,16.77,3.24,8.59,28,44.66,4,40,57,3
Holstein Friesian Cross,2,32,7,6,1.74,14.24,3.35,8.47,31,41.82,5,59,74,2
Jersey cross,6,26,6,14,1.05,15.12,3.72,8.33,35,39.25,6,45,51,0
Holstein Friesian Cross,3,41,5,14,0.54,16.92,3.37,8.49,32,44.99,4,54,50,1
Jersey cross,7,45,9,14,0.33,18.48,3.64,8.42,36,41.88,3,60,74,1
Jersey cross,1,35,9,12,0.23,14.73,3.59,8.37,33,43.39,2,40,70,2
Jersey cross,3,39,12,14,0.93,15.34,3.69,8.54,33,39.42,2,71,51,3
Jersey cross,2,44,14,8,1.47,14.68,3.47,8.47,36,40.4,5,51,72,1
Holstein Friesian Cross,5,29,5,4,0.19,15.4,3.25,8.6,29,35.16,6,52,64,2
Jersey cross,7,43,8,13,0.42,18.29,3.65,8.52,30,38.17,2,65,74,0
Holstein Friesian Cross,5,27,7,5,1.32,15.43,3.29,8.56,36,43.25,2,73,62,2
Holstein Friesian Cross,2,34,11,10,0.4,16.2,3.31,8.41,31,38.42,3,67,58,2
Jersey cross,2,30,9,10,0.39,14.42,3.71,8.52,37,35.97,4,34,67,0
Holstein Friesian Cross,8,41,14,5,0.94,18.29,3.18,8.55,34,39.31,5,25,71,2
Holstein Friesian Cross,7,30,12,7,0.92,16.96,3.36,8.5,28,43.06,4,48,70,2
Holstein Friesian Cross,6,36,12,4,0.29,17.33,3.25,8.49,30,37.44,4,36,53,1
Jersey cross,8,28,11,4,1.15,14.5,3.57,8.56,30,42.22,3,41,75,0
Jersey cross,8,35,12,7,1.21,15.87,3.61,8.6,31,43.55,5,66,50,2
Jersey cross,8,30,5,6,1.77,15.96,3.52,8.42,35,43.91,6,52,56,3
Holstein Friesian Cross,2,26,11,12,0.76,16.48,3.54,8.45,28,37.52,6,28,73,0
Jersey cross,3,28,6,6,0.25,12.84,3.63,8.5,30,43.55,5,63,50,1
Holstein Friesian Cross,3,37,8,10,0.84,16.65,3.33,8.43,30,40.27,2,75,51,0
Holstein Friesian Cross,1,27,14,13,1.51,15.39,3.48,8.59,29,43.23,5,66,64,1
Holstein Friesian Cross,9,43,9,10,1.41,19.52,3.29,8.48,34,36.38,6,70,74,3
Holstein Friesian Cross,1,36,10,9,0.5,15.26,3.39,8.54,36,40.03,6,44,63,3
Holstein Friesian Cross,2,42,13,9,0.54,17.01,3.21,8.63,30,41.54,5,66,67,0
Jersey cross,4,30,13,13,1.82,16.09,3.79,8.41,29,37.3,3,48,69,1
Holstein Friesian Cross,9,25,6,8,1.39,18.43,3.47,8.54,36,39.65,5,54,74,3
Jersey cross,8,41,9,8,1.49,16.18,3.56,8.49,34,35.65,2,74,51,0
Jersey cross,9,31,12,5,0.68,15.81,3.53,8.65,32,44.31,3,73,68,1
Holstein Friesian Cross,3,36,13,14,0.62,16.59,3.48,8.54,31,42.96,3,60,66,2
Jersey cross,5,39,7,5,1.46,14.5,3.42,8.58,37,38.23,6,34,55,3
Jersey cross,5,29,10,7,1.27,15.27,3.65,8.49,28,39.45,6,44,69,2
Holstein Friesian Cross,2,41,13,10,0.99,17.65,3.35,8.56,35,44.16,5,28,53,2
Jersey cross,8,40,9,12,1.02,17.33,3.64,8.4,36,39.3,4,68,53,2
Holstein Friesian Cross,5,45,9,11,0.51,18.98,3.33,8.39,31,44.45,6,40,74,1
Jersey cross,1,30,5,12,0.26,13.5,3.73,8.41,36,36.04,5,46,73,0
Jersey cross,3,31,11,10,0.16,14.84,3.66,8.59,37,42.7,4,60,73,2
Jersey cross,9,32,6,14,0.84,18.41,3.69,8.46,37,37.18,2,49,56,2
Holstein Friesian Cross,4,32,8,5,0.84,15.81,3.33,8.55,32,36.96,3,26,50,3
Jersey cross,7,38,7,10,0.56,15.84,3.72,8.53,37,43.76,4,36,74,2
Jersey cross,7,37,6,10,0.37,15.78,3.67,8.48,30,40.65,5,44,67,2
Holstein Friesian Cross,5,26,12,4,1.7,15.98,3.37,8.57,38,43.61,2,61,66,1
Jersey cross,6,29,8,6,1.27,14.55,3.72,8.46,28,36.18,2,65,75,2
Jersey cross,2,38,5,12,1.07,14.1,3.74,8.51,28,38.07,2,27,50,0
Holstein Friesian Cross,6,41,8,8,1.48,18.21,3.16,8.46,30,42.38,2,44,63,3
Jersey cross,4,40,12,13,1.09,16.11,3.69,8.48,31,38.42,5,27,63,2
Jersey cross,1,45,7,6,0.84,12.57,3.51,8.6,30,41.45,6,50,56,0
Holstein Friesian Cross,9,39,14,13,1.92,20.43,3.3,8.5,31,35.19,3,57,66,3
Holstein Friesian Cross,1,44,6,14,1.96,16.38,3.25,8.48,37,40.96,5,63,73,3
Jersey cross,6,27,5,4,1.82,12.95,3.64,8.42,36,41.45,5,30,68,0
Holstein Friesian Cross,1,43,13,13,1.22,16.36,3.24,8.54,28,40.65,5,60,71,2
Holstein Friesian Cross,3,36,9,12,1.1,16.27,3.34,8.41,37,35.62,3,62,66,2
Holstein Friesian Cross,4,43,9,13,1.99,17.73,3.28,8.42,31,38.61,6,36,75,0
Jersey cross,3,27,5,8,1.66,13.84,3.66,8.57,35,38.23,5,64,53,3
Jersey cross,8,28,10,8,0.63,16.41,3.75,8.42,28,40.46,5,25,69,0
Holstein Friesian Cross,9,27,9,6,0.23,18.13,3.4,8.49,36,42.01,6,73,69,2
Holstein Friesian Cross,8,31,7,12,0.71,19.07,3.5,8.49,33,36.12,6,72,58,2
Jersey cross,5,31,14,7,0.06,13.9,3.6,8.61,34,40.85,2,48,56,0
Jersey cross,8,44,9,7,1.72,17.38,3.52,8.6,31,42.16,6,61,59,3
Holstein Friesian Cross,3,38,10,10,1.82,17.05,3.38,8.5,35,35.84,6,28,68,3
Holstein Friesian Cross,1,36,13,8,0.9,15.81,3.33,8.47,35,44.71,4,66,59,1
Jersey cross,9,27,11,9,0.58,16.31,3.7,8.6,36,36.47,5,52,56,2
Holstein Friesian Cross,6,44,8,10,0.77,17.93,3.21,8.41,33,40.05,4,33,68,1
Jersey cross,2,30,12,5,1.06,12.22,3.57,8.53,37,43.32,2,50,54,0
Holstein Friesian Cross,9,25,7,12,1.92,17.83,3.47,8.54,38,39.89,2,57,60,0
Holstein Friesian Cross,6,40,8,8,0.76,18.43,3.3,8.55,30,38.06,4,55,74,2
Jersey cross,6,31,10,4,0.55,13.8,3.54,8.64,36,38.34,2,66,63,1
Jersey cross,3,43,12,8,0.5,15.24,3.47,8.6,29,41.34,2,46,51,2
Holstein Friesian Cross,5,32,10,6,1.46,15.95,3.2,8.6,28,43.59,6,39,58,0
Holstein Friesian Cross,5,37,7,11,1.67,17.75,3.3,8.42,29,43.43,3,31,72,1
